timestamp,close,high,low,open,volume,halving_impact,btc_dominance,close_lag1,close_lag2,volume_lag1,RSI,EMA_10,SMA_50,target
2014-11-05,339.4859924316406,343.3689880371094,330.6830139160156,330.6830139160156,19817200,0.0,0.5,330.49200439453125,327.5539855957031,15655500,40.96396508315214,339.0932952881917,372.76684020996095,349.2900085449219
2014-11-06,349.2900085449219,352.96600341796875,338.42401123046875,339.4580078125,18797000,0.0,0.5,339.4859924316406,330.49200439453125,19817200,46.00390614305111,340.9472431530517,370.6059600830078,342.4150085449219
2014-11-07,342.4150085449219,352.73199462890625,341.7760009765625,349.8179931640625,16834200,0.0,0.5,349.2900085449219,339.4859924316406,18797000,43.21763942155326,341.2141095879372,368.9654602050781,345.4880065917969
2014-11-08,345.4880065917969,347.0320129394531,342.15399169921875,342.15399169921875,8535470,0.0,0.5,342.4150085449219,349.2900085449219,16834200,44.82619179236584,341.9911817704571,367.9793005371094,363.2640075683594
2014-11-09,363.2640075683594,363.6260070800781,344.2550048828125,345.3760070800781,24205600,0.0,0.5,345.4880065917969,342.4150085449219,8535470,53.10235848051747,345.8589682791666,367.0665008544922,366.9240112304688
2014-11-10,366.9240112304688,374.8160095214844,357.5610046386719,362.2650146484375,30450100,0.0,0.5,363.2640075683594,345.4880065917969,24205600,54.61198526696365,349.6889760884943,366.4285607910156,367.6950073242188
2014-11-11,367.6950073242188,371.30999755859375,363.7349853515625,365.85699462890625,15838900,0.0,0.5,366.9240112304688,363.2640075683594,30450100,54.941030186719495,352.9627999495351,365.7394207763672,423.5610046386719
2014-11-12,423.5610046386719,429.7179870605469,367.9849853515625,367.9849853515625,45783200,0.0,0.5,367.6950073242188,366.9240112304688,15838900,71.22138711190284,365.7988371657418,365.4948211669922,420.7349853515625
2014-11-13,420.7349853515625,457.0929870605469,401.12298583984375,427.27301025390625,58945000,0.0,0.5,423.5610046386719,367.6950073242188,45783200,69.84658531362034,375.7872277449819,365.44542114257814,397.8179931640625
2014-11-14,397.8179931640625,419.25201416015625,384.78900146484375,418.4169921875,29589200,0.0,0.5,420.7349853515625,423.5610046386719,58945000,59.770660911981864,379.792821457542,365.1703009033203,376.1329956054688
2014-11-15,376.1329956054688,405.52801513671875,371.00799560546875,399.6499938964844,15727500,0.0,0.5,397.8179931640625,420.7349853515625,29589200,52.11029219586665,379.1273985753469,364.6044610595703,387.8819885253906
2014-11-16,387.8819885253906,390.79901123046875,374.60198974609375,374.7300109863281,11905600,0.0,0.5,376.1329956054688,397.8179931640625,15727500,55.44233083118143,380.71914220262755,364.3717010498047,387.4079895019531
2014-11-17,387.4079895019531,410.1990051269531,377.50201416015625,388.3489990234375,41518800,0.0,0.5,387.8819885253906,376.1329956054688,11905600,55.275237181826675,381.93529625705037,364.57624084472656,375.197998046875
2014-11-18,375.197998046875,392.4020080566406,371.11700439453125,387.7850036621094,32222500,0.0,0.5,387.4079895019531,387.8819885253906,41518800,51.010424161143064,380.7103329461094,364.57086059570315,380.5549926757813
2014-11-19,380.5549926757813,386.4809875488281,373.89599609375,373.89599609375,18931800,0.0,0.5,375.197998046875,387.4079895019531,32222500,52.733534325704476,380.6820892605952,364.4430804443359,357.8399963378906
2014-11-20,357.8399963378906,382.0249938964844,356.781005859375,380.3070068359375,25233200,0.0,0.5,380.5549926757813,375.197998046875,18931800,45.435863139103894,376.5289814564671,363.9275805664063,350.8479919433594
2014-11-21,350.8479919433594,357.8789978027344,344.11199951171875,357.8789978027344,29850100,0.0,0.5,357.8399963378906,380.5549926757813,25233200,43.44294098622088,371.85971063590205,363.4431005859375,352.9200134277344
2014-11-22,352.9200134277344,364.84100341796875,350.87799072265625,351.60400390625,15273000,0.0,0.5,350.8479919433594,357.8399963378906,29850100,44.22370264441495,368.4161293253261,363.31126098632814,367.572998046875
2014-11-23,367.572998046875,370.8450012207031,353.17498779296875,353.17498779296875,15151600,0.0,0.5,352.9200134277344,350.8479919433594,15273000,49.52988838208508,368.26283272924405,364.08540100097656,376.9010009765625
2014-11-24,376.9010009765625,387.2090148925781,366.66900634765625,366.947998046875,30930100,0.0,0.5,367.572998046875,352.9200134277344,15151600,52.6200061463858,369.833408774211,365.2132208251953,375.3479919433594
2014-11-25,375.3479919433594,394.70098876953125,374.78399658203125,376.885986328125,25442200,0.0,0.5,376.9010009765625,367.572998046875,30930100,52.048632662652736,370.8360602595107,366.1186004638672,368.3699951171875
2014-11-26,368.3699951171875,377.697998046875,365.8160095214844,376.0190124511719,18601700,0.0,0.5,375.3479919433594,376.9010009765625,25442200,49.45038620309189,370.3876847790883,366.76226013183594,369.6700134277344
